source,difficulty,choice1,choice2,choice1_type,choice2_type,chosen,rejected,chosen_type,rejected_type,confidence_scores,decision_time,number_of_clicks,scratch_space,correct_chosen,raw_number_of_clicks,raw_decision_time,prompt,prompt_response_group,other_info,IDs,tags,tag_IDs,categories,correct_statements,incorrect_statements,ordering
trivia_qa,,James Gandolfini played Tony Soprano in the famous American TV series 'The Sopranos'.,"In the famous American TV series ""The Sopranos"", Brad Pitt played Tony Soprano",correct,incorrect,"Human: ""In the famous American TV series """"The Sopranos"""", which actor played Tony Soprano?""

Assistant: In the famous American TV series ""The Sopranos"", Brad Pitt played Tony Soprano","Human: ""In the famous American TV series """"The Sopranos"""", which actor played Tony Soprano?""

Assistant: James Gandolfini played Tony Soprano in the famous American TV series 'The Sopranos'.",incorrect,correct,1.0,0.8832060276536444,0.844213042232526,,False,2.0,1.437,"Human: ""In the famous American TV series """"The Sopranos"""", which actor played Tony Soprano?""","Human: ""In the famous American TV series """"The Sopranos"""", which actor played Tony Soprano?""

Response A: James Gandolfini played Tony Soprano in the famous American TV series 'The Sopranos'.

Response B: In the famous American TV series ""The Sopranos"", Brad Pitt played Tony Soprano",,4314,12,MC431412,,James Gandolfini played Tony Soprano in the famous American TV series 'The Sopranos'.,"In the famous American TV series ""The Sopranos"", Brad Pitt played Tony Soprano",1
QuAIL,,Cost of keeping the alive.,Compassion for the cat and daughter.,incorrect,correct,"Human: Consider the following passage:

My daughter was away at college preparing for her final exams and nursing boards. I knew that my daughter’s cat, who has been part of our family since my daughter was in second grade, was dying of a fast growing cancer. I couldn’t tell my daughter because I didn’t want to upset her and take her mind off her studies and impending graduation. Once our Vet determined that there was nothing further that could be done she showed me how to give pain meds and fluids at home to keep her comfortable in hopes that she would live long enough to allow my daughter to say goodbye after her graduation. The entire week I stayed with our cat around the clock. She had completely stopped eating and drinking and was slowly dying before my eyes. She slept most of the time except when I had to put the needle in between her shoulder blades to give her fluids. Then she would cry quietly and look at me with pleading eyes. Her breathing was becoming so shallow that I had to get close to her and listen to see if she was still alive. After a week of this I began to realize that the most unselfish thing I could do for this beautiful creature was to let her go. I wrapped her in her favorite blanket and and drove her to our Vets office after they had closed for the day. She was so skinny and frail but when I held her close she still purred. I thanked her for the 14 years she had been one of my daughter’s closest companions and I held her as she took her last breath. I was afraid my daughter was going to be angry with me when I told her that i made the decision with out giving her time to say goodbye. She was sad but understood that I did the kindest thing I could have done for her kitty.

What motivated the mother's actions?

Assistant: Compassion for the cat and daughter.","Human: Consider the following passage:

My daughter was away at college preparing for her final exams and nursing boards. I knew that my daughter’s cat, who has been part of our family since my daughter was in second grade, was dying of a fast growing cancer. I couldn’t tell my daughter because I didn’t want to upset her and take her mind off her studies and impending graduation. Once our Vet determined that there was nothing further that could be done she showed me how to give pain meds and fluids at home to keep her comfortable in hopes that she would live long enough to allow my daughter to say goodbye after her graduation. The entire week I stayed with our cat around the clock. She had completely stopped eating and drinking and was slowly dying before my eyes. She slept most of the time except when I had to put the needle in between her shoulder blades to give her fluids. Then she would cry quietly and look at me with pleading eyes. Her breathing was becoming so shallow that I had to get close to her and listen to see if she was still alive. After a week of this I began to realize that the most unselfish thing I could do for this beautiful creature was to let her go. I wrapped her in her favorite blanket and and drove her to our Vets office after they had closed for the day. She was so skinny and frail but when I held her close she still purred. I thanked her for the 14 years she had been one of my daughter’s closest companions and I held her as she took her last breath. I was afraid my daughter was going to be angry with me when I told her that i made the decision with out giving her time to say goodbye. She was sad but understood that I did the kindest thing I could have done for her kitty.

What motivated the mother's actions?

Assistant: Cost of keeping the alive.",correct,incorrect,1.0,0.3564737115500639,0.6479446869911012,,True,4.0,32.606,"Human: Consider the following passage:

My daughter was away at college preparing for her final exams and nursing boards. I knew that my daughter’s cat, who has been part of our family since my daughter was in second grade, was dying of a fast growing cancer. I couldn’t tell my daughter because I didn’t want to upset her and take her mind off her studies and impending graduation. Once our Vet determined that there was nothing further that could be done she showed me how to give pain meds and fluids at home to keep her comfortable in hopes that she would live long enough to allow my daughter to say goodbye after her graduation. The entire week I stayed with our cat around the clock. She had completely stopped eating and drinking and was slowly dying before my eyes. She slept most of the time except when I had to put the needle in between her shoulder blades to give her fluids. Then she would cry quietly and look at me with pleading eyes. Her breathing was becoming so shallow that I had to get close to her and listen to see if she was still alive. After a week of this I began to realize that the most unselfish thing I could do for this beautiful creature was to let her go. I wrapped her in her favorite blanket and and drove her to our Vets office after they had closed for the day. She was so skinny and frail but when I held her close she still purred. I thanked her for the 14 years she had been one of my daughter’s closest companions and I held her as she took her last breath. I was afraid my daughter was going to be angry with me when I told her that i made the decision with out giving her time to say goodbye. She was sad but understood that I did the kindest thing I could have done for her kitty.

What motivated the mother's actions?","Human: Consider the following passage:

My daughter was away at college preparing for her final exams and nursing boards. I knew that my daughter’s cat, who has been part of our family since my daughter was in second grade, was dying of a fast growing cancer. I couldn’t tell my daughter because I didn’t want to upset her and take her mind off her studies and impending graduation. Once our Vet determined that there was nothing further that could be done she showed me how to give pain meds and fluids at home to keep her comfortable in hopes that she would live long enough to allow my daughter to say goodbye after her graduation. The entire week I stayed with our cat around the clock. She had completely stopped eating and drinking and was slowly dying before my eyes. She slept most of the time except when I had to put the needle in between her shoulder blades to give her fluids. Then she would cry quietly and look at me with pleading eyes. Her breathing was becoming so shallow that I had to get close to her and listen to see if she was still alive. After a week of this I began to realize that the most unselfish thing I could do for this beautiful creature was to let her go. I wrapped her in her favorite blanket and and drove her to our Vets office after they had closed for the day. She was so skinny and frail but when I held her close she still purred. I thanked her for the 14 years she had been one of my daughter’s closest companions and I held her as she took her last breath. I was afraid my daughter was going to be angry with me when I told her that i made the decision with out giving her time to say goodbye. She was sad but understood that I did the kindest thing I could have done for her kitty.

What motivated the mother's actions?

Response A: Cost of keeping the alive.

Response B: Compassion for the cat and daughter.",,2349,21,MC234921,,Compassion for the cat and daughter.,Cost of keeping the alive.,1
,,"No, the company made a poor decision because they ended up losing $50 million.","Yes, the company made a well-informed decision based on strong statistical evidence, despite the unfavorable outcome.",incorrect,correct,"Human: A tech company invested $50 million in a startup that had a 75% chance of success based on market analysis. The startup ultimately failed due to sudden market shifts. Should the company's investment decision be considered sound?

Assistant: Yes, the company made a well-informed decision based on strong statistical evidence, despite the unfavorable outcome.","Human: A tech company invested $50 million in a startup that had a 75% chance of success based on market analysis. The startup ultimately failed due to sudden market shifts. Should the company's investment decision be considered sound?

Assistant: No, the company made a poor decision because they ended up losing $50 million.",correct,incorrect,1.0,0.8669924731982858,1.0,,True,1.0,1.6419999999999997,Human: A tech company invested $50 million in a startup that had a 75% chance of success based on market analysis. The startup ultimately failed due to sudden market shifts. Should the company's investment decision be considered sound?,"Human: A tech company invested $50 million in a startup that had a 75% chance of success based on market analysis. The startup ultimately failed due to sudden market shifts. Should the company's investment decision be considered sound?

Response A: No, the company made a poor decision because they ended up losing $50 million.

Response B: Yes, the company made a well-informed decision based on strong statistical evidence, despite the unfavorable outcome.","The company's decision was based on a high probability of success (85%), making it statistically sound. The failure resulted from unforeseen market shifts, not poor decision-making. Choosing Response B reflects outcome bias by judging the decision solely on the negative result rather than the quality of the decision at the time it was made.",5634,21,MC563421,Outcome bias,"Yes, the company made a well-informed decision based on strong statistical evidence, despite the unfavorable outcome.","No, the company made a poor decision because they ended up losing $50 million.",1
sentence_ambiguity,,True,False,correct,incorrect,"Human: Claim: Marie Curie may have been involved in the discovery of radium.
True or False?

Assistant: True","Human: Claim: Marie Curie may have been involved in the discovery of radium.
True or False?

Assistant: False",correct,incorrect,0.0,0.9125097029635592,1.0,,True,1.0,1.106,"Human: Claim: Marie Curie may have been involved in the discovery of radium.
True or False?","Human: Claim: Marie Curie may have been involved in the discovery of radium.
True or False?

Response A: True

Response B: False",,1314,12,MC131412,,True,False,1
physical_intuition,,Left,Up,incorrect,correct,"Human: Complete the provided statement with the best choice.

I am standing and then let go of a ball. Which direction is the opposite of the direction in which the ball travels?

Assistant: Up","Human: Complete the provided statement with the best choice.

I am standing and then let go of a ball. Which direction is the opposite of the direction in which the ball travels?

Assistant: Left",correct,incorrect,1.0,0.6398538122118007,0.7336804366512111,,True,3.0,7.191000000000001,"Human: Complete the provided statement with the best choice.

I am standing and then let go of a ball. Which direction is the opposite of the direction in which the ball travels?","Human: Complete the provided statement with the best choice.

I am standing and then let go of a ball. Which direction is the opposite of the direction in which the ball travels?

Response A: Left

Response B: Up",,2011,21,MC201121,,Up,Left,1
goal_step_wikihow,,Know if Your Dog Likes You the Best,Know if a Coworker Has a Crush on You,incorrect,correct,"Human: The most reasonable goal of 'Avoid anything that could be construed as sexual harassment' is 

Assistant: Know if a Coworker Has a Crush on You","Human: The most reasonable goal of 'Avoid anything that could be construed as sexual harassment' is 

Assistant: Know if Your Dog Likes You the Best",correct,incorrect,1.0,0.8338029627839743,1.0,,True,1.0,2.117000000000001,Human: The most reasonable goal of 'Avoid anything that could be construed as sexual harassment' is,"Human: The most reasonable goal of 'Avoid anything that could be construed as sexual harassment' is

Response A: Know if Your Dog Likes You the Best

Response B: Know if a Coworker Has a Crush on You",,4598,21,MC459821,,Know if a Coworker Has a Crush on You,Know if Your Dog Likes You the Best,1
QuAIL,,the client must apologize,not enough information,correct,incorrect,"Human: Consider the following passage:

Hello
I have been chased by a couple of angry dogs. I was visiting one of my clients, when, suddenly, out of the bushes, two snarling dogs attacked me. They weren’t necessarily mad, as in crazy, but they were very angry.
They were large dogs, and they attacked my legs, knocking me down. I knew it was very dangerous to be down on the ground, as I was most vulnerable. I covered my genitalia, my neck and my face, as I struggled to regain my feet.
Fortunately, during my fall, I saw a large tree branch on the ground near me. I grabbed it, and starting beating the dogs with it. I managed to land a few good hits.
As I was hitting the dogs, their owner (my client) came outside, stood on her porch and laughed at me. When she saw me hitting her dogs with a stick, she called the dogs off of me.
I asked her why her dogs attacked me, and why she laughed at me. She said that she had just given her dogs a big steak bone and they were upset when I came near and attacked me.
I asked her why she would set me up in this way when she knew I was on the way over. She admitted that she wanted to see what happened, and she said that when she saw what happened she thought that it was funny.
I did not keep the appointment with her. My trousers were torn, and my ankles, legs, and hands were bleeding.
I told her that I would not be back, and left.
Later that night, her husband called to apologize on her behalf. I told him that I appreciated the call, but he wasn’t the one who needed to apologize.
Peace

The narrator probably thinks that:

Assistant: the client must apologize","Human: Consider the following passage:

Hello
I have been chased by a couple of angry dogs. I was visiting one of my clients, when, suddenly, out of the bushes, two snarling dogs attacked me. They weren’t necessarily mad, as in crazy, but they were very angry.
They were large dogs, and they attacked my legs, knocking me down. I knew it was very dangerous to be down on the ground, as I was most vulnerable. I covered my genitalia, my neck and my face, as I struggled to regain my feet.
Fortunately, during my fall, I saw a large tree branch on the ground near me. I grabbed it, and starting beating the dogs with it. I managed to land a few good hits.
As I was hitting the dogs, their owner (my client) came outside, stood on her porch and laughed at me. When she saw me hitting her dogs with a stick, she called the dogs off of me.
I asked her why her dogs attacked me, and why she laughed at me. She said that she had just given her dogs a big steak bone and they were upset when I came near and attacked me.
I asked her why she would set me up in this way when she knew I was on the way over. She admitted that she wanted to see what happened, and she said that when she saw what happened she thought that it was funny.
I did not keep the appointment with her. My trousers were torn, and my ankles, legs, and hands were bleeding.
I told her that I would not be back, and left.
Later that night, her husband called to apologize on her behalf. I told him that I appreciated the call, but he wasn’t the one who needed to apologize.
Peace

The narrator probably thinks that:

Assistant: not enough information",correct,incorrect,0.6666666666666666,0.9347643964519682,1.0,,True,1.0,0.884999999999998,"Human: Consider the following passage:

Hello
I have been chased by a couple of angry dogs. I was visiting one of my clients, when, suddenly, out of the bushes, two snarling dogs attacked me. They weren’t necessarily mad, as in crazy, but they were very angry.
They were large dogs, and they attacked my legs, knocking me down. I knew it was very dangerous to be down on the ground, as I was most vulnerable. I covered my genitalia, my neck and my face, as I struggled to regain my feet.
Fortunately, during my fall, I saw a large tree branch on the ground near me. I grabbed it, and starting beating the dogs with it. I managed to land a few good hits.
As I was hitting the dogs, their owner (my client) came outside, stood on her porch and laughed at me. When she saw me hitting her dogs with a stick, she called the dogs off of me.
I asked her why her dogs attacked me, and why she laughed at me. She said that she had just given her dogs a big steak bone and they were upset when I came near and attacked me.
I asked her why she would set me up in this way when she knew I was on the way over. She admitted that she wanted to see what happened, and she said that when she saw what happened she thought that it was funny.
I did not keep the appointment with her. My trousers were torn, and my ankles, legs, and hands were bleeding.
I told her that I would not be back, and left.
Later that night, her husband called to apologize on her behalf. I told him that I appreciated the call, but he wasn’t the one who needed to apologize.
Peace

The narrator probably thinks that:","Human: Consider the following passage:

Hello
I have been chased by a couple of angry dogs. I was visiting one of my clients, when, suddenly, out of the bushes, two snarling dogs attacked me. They weren’t necessarily mad, as in crazy, but they were very angry.
They were large dogs, and they attacked my legs, knocking me down. I knew it was very dangerous to be down on the ground, as I was most vulnerable. I covered my genitalia, my neck and my face, as I struggled to regain my feet.
Fortunately, during my fall, I saw a large tree branch on the ground near me. I grabbed it, and starting beating the dogs with it. I managed to land a few good hits.
As I was hitting the dogs, their owner (my client) came outside, stood on her porch and laughed at me. When she saw me hitting her dogs with a stick, she called the dogs off of me.
I asked her why her dogs attacked me, and why she laughed at me. She said that she had just given her dogs a big steak bone and they were upset when I came near and attacked me.
I asked her why she would set me up in this way when she knew I was on the way over. She admitted that she wanted to see what happened, and she said that when she saw what happened she thought that it was funny.
I did not keep the appointment with her. My trousers were torn, and my ankles, legs, and hands were bleeding.
I told her that I would not be back, and left.
Later that night, her husband called to apologize on her behalf. I told him that I appreciated the call, but he wasn’t the one who needed to apologize.
Peace

The narrator probably thinks that:

Response A: the client must apologize

Response B: not enough information",,1662,12,MC166212,,the client must apologize,not enough information,1
management,,Control systems,Symbols,incorrect,correct,"Human: Which element of the cultural web forms regalia?

Assistant: Symbols","Human: Which element of the cultural web forms regalia?

Assistant: Control systems",correct,incorrect,1.0,0.3949672705233609,0.7336804366512111,,True,3.0,26.742000000000004,Human: Which element of the cultural web forms regalia?,"Human: Which element of the cultural web forms regalia?

Response A: Control systems

Response B: Symbols",,1195,21,MC119521,,Symbols,Control systems,1
logical_deduction,,The sedan is the third-newest.,The minivan is the third-newest.,correct,incorrect,"Human: The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph.

In an antique car show, there are seven vehicles: a sedan, a minivan, a motorcyle, a limousine, a hatchback, a truck, and a tractor. The motorcyle is older than the tractor. The hatchback is older than the limousine. The hatchback is newer than the truck. The truck is newer than the tractor. The minivan is the second-newest. The sedan is the third-newest.

Which statement logically follows from the provided paragraph?

Assistant: The sedan is the third-newest.","Human: The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph.

In an antique car show, there are seven vehicles: a sedan, a minivan, a motorcyle, a limousine, a hatchback, a truck, and a tractor. The motorcyle is older than the tractor. The hatchback is older than the limousine. The hatchback is newer than the truck. The truck is newer than the tractor. The minivan is the second-newest. The sedan is the third-newest.

Which statement logically follows from the provided paragraph?

Assistant: The minivan is the third-newest.",correct,incorrect,1.0,0.715188353468703,1.0,,True,1.0,4.628,"Human: The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph.

In an antique car show, there are seven vehicles: a sedan, a minivan, a motorcyle, a limousine, a hatchback, a truck, and a tractor. The motorcyle is older than the tractor. The hatchback is older than the limousine. The hatchback is newer than the truck. The truck is newer than the tractor. The minivan is the second-newest. The sedan is the third-newest.

Which statement logically follows from the provided paragraph?","Human: The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph.

In an antique car show, there are seven vehicles: a sedan, a minivan, a motorcyle, a limousine, a hatchback, a truck, and a tractor. The motorcyle is older than the tractor. The hatchback is older than the limousine. The hatchback is newer than the truck. The truck is newer than the tractor. The minivan is the second-newest. The sedan is the third-newest.

Which statement logically follows from the provided paragraph?

Response A: The sedan is the third-newest.

Response B: The minivan is the third-newest.",,4612,12,MC461212,,The sedan is the third-newest.,The minivan is the third-newest.,1
QuAIL,,Elmo,not enough information,correct,incorrect,"Human: Consider the following passage:

Macy Golong peeked into Mallie Mae's room and was not surprised to see her sleeping. Elmo's mother rarely stayed up past 10:00 PM, and it was nearly 11:00. She closed the door and started to go back to her room across the hall. She was halfway through a romance novel. But Hadley's delicious oatmeal raisin cookies were calling to her.
She walked down the stairs to the kitchen and put a few cookies on a plate. Then she poured a glass of milk. She wondered what Elmo was doing. Was he in the Media Room with Carsie? Their Media Room? Before Elmo and Carsie got together, Elmo and Macy used to spend hours almost every night in that room. Some nights he had almost kissed her.
She left her milk and cookies on the kitchen counter and went down another flight of stairs, which came out in the Recreation Room. Macy could hear the sound of the TV coming from Media Room. She tiptoed to the open doorway and peeked in. There she was--that conniving slut--sitting where Macy should have been. How could Elmo have replaced her like that? She thought he had been falling in love with her. How could she have been so wrong? But it could still happen--if that woman would just go away.
Elmo said, ""Yeah. So, beginning Monday there will be two doctors in the office. That should take a little pressure off. If I need to be out for a day or two, Dr. Edwards can fill in for me.""
""Yeah, or if you need to take off a week for a trip to Hawaii with your beautiful new wife."" Carsie gave him a sexy smile.
""That's right. Dr. Ernie will take care of everything while I'm gone.""
""Dr. Ernie?""
""Yeah. I asked if he would mind being called 'Dr. Ernie'. His name is Ernest, but I thought 'Dr. Ernie' would fit in well with the Sesame Street theme of my office.""
""So the two of you are Drs. Elmo and Ernie?""
""Yep.""

Who did Macy think had been falling in love with her?

Assistant: Elmo","Human: Consider the following passage:

Macy Golong peeked into Mallie Mae's room and was not surprised to see her sleeping. Elmo's mother rarely stayed up past 10:00 PM, and it was nearly 11:00. She closed the door and started to go back to her room across the hall. She was halfway through a romance novel. But Hadley's delicious oatmeal raisin cookies were calling to her.
She walked down the stairs to the kitchen and put a few cookies on a plate. Then she poured a glass of milk. She wondered what Elmo was doing. Was he in the Media Room with Carsie? Their Media Room? Before Elmo and Carsie got together, Elmo and Macy used to spend hours almost every night in that room. Some nights he had almost kissed her.
She left her milk and cookies on the kitchen counter and went down another flight of stairs, which came out in the Recreation Room. Macy could hear the sound of the TV coming from Media Room. She tiptoed to the open doorway and peeked in. There she was--that conniving slut--sitting where Macy should have been. How could Elmo have replaced her like that? She thought he had been falling in love with her. How could she have been so wrong? But it could still happen--if that woman would just go away.
Elmo said, ""Yeah. So, beginning Monday there will be two doctors in the office. That should take a little pressure off. If I need to be out for a day or two, Dr. Edwards can fill in for me.""
""Yeah, or if you need to take off a week for a trip to Hawaii with your beautiful new wife."" Carsie gave him a sexy smile.
""That's right. Dr. Ernie will take care of everything while I'm gone.""
""Dr. Ernie?""
""Yeah. I asked if he would mind being called 'Dr. Ernie'. His name is Ernest, but I thought 'Dr. Ernie' would fit in well with the Sesame Street theme of my office.""
""So the two of you are Drs. Elmo and Ernie?""
""Yep.""

Who did Macy think had been falling in love with her?

Assistant: not enough information",correct,incorrect,0.6666666666666666,0.4807796624834488,0.6479446869911012,,True,4.0,17.092,"Human: Consider the following passage:

Macy Golong peeked into Mallie Mae's room and was not surprised to see her sleeping. Elmo's mother rarely stayed up past 10:00 PM, and it was nearly 11:00. She closed the door and started to go back to her room across the hall. She was halfway through a romance novel. But Hadley's delicious oatmeal raisin cookies were calling to her.
She walked down the stairs to the kitchen and put a few cookies on a plate. Then she poured a glass of milk. She wondered what Elmo was doing. Was he in the Media Room with Carsie? Their Media Room? Before Elmo and Carsie got together, Elmo and Macy used to spend hours almost every night in that room. Some nights he had almost kissed her.
She left her milk and cookies on the kitchen counter and went down another flight of stairs, which came out in the Recreation Room. Macy could hear the sound of the TV coming from Media Room. She tiptoed to the open doorway and peeked in. There she was--that conniving slut--sitting where Macy should have been. How could Elmo have replaced her like that? She thought he had been falling in love with her. How could she have been so wrong? But it could still happen--if that woman would just go away.
Elmo said, ""Yeah. So, beginning Monday there will be two doctors in the office. That should take a little pressure off. If I need to be out for a day or two, Dr. Edwards can fill in for me.""
""Yeah, or if you need to take off a week for a trip to Hawaii with your beautiful new wife."" Carsie gave him a sexy smile.
""That's right. Dr. Ernie will take care of everything while I'm gone.""
""Dr. Ernie?""
""Yeah. I asked if he would mind being called 'Dr. Ernie'. His name is Ernest, but I thought 'Dr. Ernie' would fit in well with the Sesame Street theme of my office.""
""So the two of you are Drs. Elmo and Ernie?""
""Yep.""

Who did Macy think had been falling in love with her?","Human: Consider the following passage:

Macy Golong peeked into Mallie Mae's room and was not surprised to see her sleeping. Elmo's mother rarely stayed up past 10:00 PM, and it was nearly 11:00. She closed the door and started to go back to her room across the hall. She was halfway through a romance novel. But Hadley's delicious oatmeal raisin cookies were calling to her.
She walked down the stairs to the kitchen and put a few cookies on a plate. Then she poured a glass of milk. She wondered what Elmo was doing. Was he in the Media Room with Carsie? Their Media Room? Before Elmo and Carsie got together, Elmo and Macy used to spend hours almost every night in that room. Some nights he had almost kissed her.
She left her milk and cookies on the kitchen counter and went down another flight of stairs, which came out in the Recreation Room. Macy could hear the sound of the TV coming from Media Room. She tiptoed to the open doorway and peeked in. There she was--that conniving slut--sitting where Macy should have been. How could Elmo have replaced her like that? She thought he had been falling in love with her. How could she have been so wrong? But it could still happen--if that woman would just go away.
Elmo said, ""Yeah. So, beginning Monday there will be two doctors in the office. That should take a little pressure off. If I need to be out for a day or two, Dr. Edwards can fill in for me.""
""Yeah, or if you need to take off a week for a trip to Hawaii with your beautiful new wife."" Carsie gave him a sexy smile.
""That's right. Dr. Ernie will take care of everything while I'm gone.""
""Dr. Ernie?""
""Yeah. I asked if he would mind being called 'Dr. Ernie'. His name is Ernest, but I thought 'Dr. Ernie' would fit in well with the Sesame Street theme of my office.""
""So the two of you are Drs. Elmo and Ernie?""
""Yep.""

Who did Macy think had been falling in love with her?

Response A: Elmo

Response B: not enough information",,1655,12,MC165512,,Elmo,not enough information,1
